"date","0–34","35–39","40–44","45–49","50–54","55–59","60–64","65–69","70–74","75–79","80–84","85–89","90+"
12/16/2018,21,14,35,35,79,133,264,299,332,377,400,387,301
12/23/2018,31,12,26,64,94,138,257,309,349,386,433,398,300
12/30/2018,30,7,33,52,75,154,256,323,340,383,443,414,350
01/06/2019,35,14,30,63,102,165,263,330,357,394,469,459,373
01/13/2019,30,15,32,48,94,137,280,360,390,415,482,458,349
01/20/2019,30,10,33,52,91,133,263,320,343,426,491,484,361
01/27/2019,33,12,36,60,84,138,298,349,356,441,523,506,398
02/03/2019,35,13,17,65,109,166,308,357,385,478,543,508,400
02/10/2019,28,14,34,62,80,155,270,360,399,440,501,535,385
02/17/2019,34,12,31,58,121,136,292,299,331,441,466,453,360
02/24/2019,26,16,36,47,76,113,239,354,346,402,465,434,334
03/03/2019,46,15,30,61,82,149,243,319,353,397,455,447,312
03/10/2019,34,22,27,49,63,119,230,307,327,377,423,420,315
03/17/2019,30,14,23,48,70,149,245,286,326,396,446,395,305
03/24/2019,25,9,25,42,78,123,206,273,322,300,392,401,273
03/31/2019,28,12,27,35,72,122,221,258,282,362,355,362,275
04/07/2019,33,15,32,46,72,120,222,293,267,318,357,370,269
04/14/2019,35,6,25,35,82,107,226,288,264,346,338,360,281
04/21/2019,30,14,27,46,76,104,212,263,282,352,309,331,281
04/28/2019,19,12,25,31,77,130,234,291,279,321,377,402,244
05/05/2019,22,19,28,51,61,112,221,287,230,341,335,320,289
05/12/2019,23,14,28,42,77,101,184,267,230,367,338,370,242
05/19/2019,23,11,33,36,71,116,215,251,260,334,334,300,224
05/26/2019,21,7,33,40,63,103,195,272,279,321,345,348,256
06/02/2019,28,22,18,43,70,112,223,238,257,302,327,310,246
06/09/2019,30,13,24,44,66,113,237,276,269,323,327,327,239
06/16/2019,34,12,37,55,71,114,236,296,282,390,402,404,290
06/23/2019,32,16,32,30,69,112,188,261,294,282,339,331,231
06/30/2019,35,10,37,54,68,133,208,237,269,325,359,310,202
07/07/2019,35,18,28,47,69,118,218,244,247,327,320,348,223
07/14/2019,25,17,20,33,65,114,181,238,242,285,329,297,219
07/21/2019,25,14,17,49,61,141,193,249,270,308,336,355,274
07/28/2019,28,9,33,43,82,136,233,264,292,349,346,376,280
08/04/2019,25,17,27,41,74,114,172,286,263,298,322,290,241
08/11/2019,23,12,35,37,63,111,188,231,259,298,341,354,263
08/18/2019,35,19,21,45,60,119,213,262,244,352,291,331,226
08/25/2019,33,11,30,36,74,111,194,241,257,312,332,357,247
09/01/2019,25,18,18,55,76,112,199,282,275,313,371,339,290
09/08/2019,30,12,31,45,68,115,204,262,249,303,341,314,225
09/15/2019,39,15,27,36,76,98,210,240,288,295,318,287,225
09/22/2019,37,11,19,47,77,109,202,251,258,309,329,346,246
09/29/2019,30,8,27,51,90,117,226,289,262,352,385,351,306
10/06/2019,35,10,42,48,79,136,221,282,286,342,360,315,286
10/13/2019,39,12,26,39,62,120,197,275,278,314,393,366,261
10/20/2019,25,11,18,30,93,124,183,263,290,353,365,341,298
10/27/2019,26,16,31,44,64,121,167,282,280,339,346,363,276
11/03/2019,25,18,32,46,79,94,188,281,267,331,360,339,237
11/10/2019,23,9,23,36,77,107,214,293,280,354,363,400,264
11/17/2019,29,10,27,30,75,120,194,279,288,322,345,342,298
11/24/2019,36,12,23,40,67,114,191,284,269,329,338,341,257
12/01/2019,32,10,25,40,81,117,198,267,295,314,353,354,271
12/08/2019,30,16,28,46,62,130,228,312,281,372,384,387,285
12/15/2019,33,9,28,51,74,127,236,294,279,376,372,354,293
12/22/2019,37,23,33,44,87,112,226,308,302,349,360,384,273
12/29/2019,28,13,23,29,76,127,203,298,291,345,405,388,269
01/05/2020,26,13,21,48,98,147,239,315,312,361,391,361,277
01/12/2020,35,15,35,40,81,122,228,308,306,341,403,387,285
01/19/2020,30,12,28,52,86,123,216,266,309,374,414,364,308
01/26/2020,26,10,32,42,84,137,245,311,323,384,413,430,283
02/02/2020,32,12,27,40,71,114,243,322,335,450,411,402,341
02/09/2020,22,20,24,42,76,135,224,304,326,390,398,396,278
02/16/2020,33,15,24,42,77,131,206,339,330,403,439,401,310
02/23/2020,23,12,27,37,64,119,205,317,301,386,404,393,298
03/01/2020,28,10,32,56,89,118,233,304,345,390,444,403,330
03/08/2020,31,8,25,40,69,106,224,301,319,379,418,375,310
03/15/2020,40,13,31,27,86,111,197,297,331,404,383,371,286
03/22/2020,29,13,20,45,89,129,227,339,308,403,452,447,300
03/29/2020,32,19,22,50,66,107,199,333,298,355,419,377,314
04/05/2020,29,12,15,49,78,118,247,304,313,341,365,372,282
04/12/2020,34,17,27,48,105,118,232,294,264,380,358,387,308
04/19/2020,25,12,23,55,92,137,201,291,276,348,371,402,276
04/26/2020,26,15,17,53,71,106,212,268,302,338,340,322,286
05/03/2020,34,10,26,36,80,105,179,255,253,315,357,330,270
05/10/2020,22,11,27,53,70,116,192,294,263,324,341,335,243
05/17/2020,31,17,29,46,61,102,218,289,283,312,357,344,255
05/24/2020,30,14,19,40,59,108,166,255,284,326,308,293,209
05/31/2020,38,14,25,43,58,112,202,260,273,310,321,320,216
06/07/2020,26,10,30,45,77,123,236,284,282,327,366,323,268
06/14/2020,24,15,29,45,59,99,202,276,259,304,343,373,260
06/21/2020,29,9,29,58,69,98,189,236,296,279,300,265,214
06/28/2020,25,17,29,40,70,131,209,273,282,328,305,325,228
07/05/2020,29,13,25,46,75,103,191,287,278,343,335,329,260
07/12/2020,31,9,27,39,66,111,210,258,249,273,356,317,227
07/19/2020,24,9,28,39,75,92,167,259,290,289,322,309,208
07/26/2020,25,2,23,42,62,106,181,269,262,315,304,317,244
08/02/2020,28,13,32,47,85,116,197,266,256,342,355,380,242
08/09/2020,27,13,33,49,86,109,212,282,275,329,332,331,234
08/16/2020,23,16,34,51,84,100,193,288,263,319,314,339,241
08/23/2020,22,12,31,45,90,108,175,278,279,298,312,307,265
08/30/2020,27,17,21,34,66,126,171,296,260,312,329,300,245
09/06/2020,35,14,29,40,77,97,180,257,273,335,325,322,236
09/13/2020,29,11,28,36,84,114,193,278,290,307,323,369,270
09/20/2020,27,17,23,53,91,110,208,284,298,356,389,359,256
09/27/2020,30,22,31,47,81,106,189,328,324,343,381,329,248
10/04/2020,42,26,27,38,79,135,191,307,313,393,366,358,285
10/11/2020,33,15,17,41,89,124,185,297,317,383,386,409,267
10/18/2020,23,13,23,53,84,121,238,334,324,416,406,414,302
10/25/2020,43,19,31,60,88,124,212,354,387,430,493,406,339
11/01/2020,32,11,31,60,97,119,256,392,387,469,506,460,359
11/08/2020,34,18,39,57,90,155,239,435,428,526,570,553,401
11/15/2020,44,10,35,68,120,146,287,451,518,605,690,591,389
11/22/2020,29,15,30,60,94,169,286,476,524,594,654,570,441
11/29/2020,27,21,33,63,101,162,318,461,516,583,654,675,445
12/06/2020,33,17,42,64,116,180,309,466,546,569,687,599,506
12/13/2020,42,15,44,76,93,147,275,451,478,598,685,639,488
12/20/2020,33,21,30,62,92,150,284,390,467,535,595,551,463
12/27/2020,40,11,35,61,115,169,264,439,480,519,566,554,432
01/03/2021,32,19,29,50,86,147,230,381,445,504,567,506,385
01/10/2021,23,24,32,49,119,144,263,333,367,441,502,463,334
01/17/2021,25,9,28,60,87,124,234,332,414,462,508,474,328
01/24/2021,27,15,28,48,92,131,241,353,354,439,409,418,327
01/31/2021,29,11,22,54,95,125,214,303,343,364,469,360,339
02/07/2021,39,15,27,42,74,142,221,317,330,373,432,374,298
